Address,Categories,City,Name,Postal Code,Province
1099 S Blackhawk St,"Restaurant, Fast Food Restaurant, and Sandwich Place",Aurora,Arby's,80012,CO
406 N Pershing St,Fast Food Restaurants,Energy,Primo's Pizza,62933,IL
201 Lee Town Rd,Fast Food Restaurants,Pea Ridge,Simple Simon's Pizza,72751,AR
3067 Wilma Rudolph Blvd,Fast Food Restaurants,Clarksville,Arby's,37040,TN
1635 W State St,Fast Food Restaurants,Alliance,Dairy Queen,44601,OH
5311 Highway 5 N Ste 240,Fast Food Restaurants,Bryant,CASA Mexicana,72022,AR
3001 N Reynolds Rd,Fast Food Restaurant,Bryant,Burger King,72022,AR
2275 E Butler Ave,Fast Food Restaurants,Flagstaff,Burger King,86004,AZ
1818 6th St,Fast Food Restaurants,Brookings,Arby's,57006,SD
1818 6th St,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Brookings,Arby's,57006,SD
3051 W Apache Trl,Fast Food,Apache Junction,KFC,85120,AZ
Route 52 Airport Square,Fast Food Restaurants,Bluefield,Burger King,24701,WV
102 Harper Park Dr,Fast Food Restaurants,Beckley,Bob Evans,25801,WV
1912 Harper Rd,Fast Food Restaurants,Beckley,Pizza Hut,25801,WV
1855 Deerfield Rd,Fast Food Restaurants,Highland Park,Players Grill,60035,IL
3 Clarksburg Rd,Fast Food Restaurants,Buckhannon,Burger King,26201,WV
302 Yellowstone Ave,Fast Food,Cody,Arby's,82414,WY
1902 Mountain View Dr,Fast Food Restaurant,Cody,Burger King,82414,WY
5320 Yellowstone Rd,Fast Food Restaurants,Cheyenne,Pizza Hut,82009,WY
1100 Poplar View Ln N,Fast Food Restaurants,Collierville,Back Yard Burgers,38017,TN
967 W Poplar Ave,Fast Food Restaurants,Collierville,Arby's,38017,TN
2607 Cy Ave,Fast Food Restaurants,Casper,Arby's,82604,WY
1860 N Germantown Pkwy,Fast Food Restaurants,Cordova,Arby's,38016,TN
310 W Grand Xing,Fast Food Restaurants,Mobridge,SUBWAY,57601,SD
1502 N Clinton St,Fast Food,Defiance,Arby's,43512,OH
1133 N Clinton St,Fast Food Restaurants,Defiance,Pizza Hut,43512,OH
11 W Dayton Yellow Springs Rd,Fast Food Restaurants,Fairborn,Pizza Hut,45324,OH
1205 6th Ave Se,Fast Food,Aberdeen,Arby's,57401,SD
2260 Highway 394,Fast Food Restaurant,Blountville,McDonald's,37617,TN
214 Carolina Pottery Dr,Fast food restaurants,Blountville,McDonald's,37617,TN
1313 Highway 394,Fast Food Restaurant,Blountville,Arby's,37617,TN
1313 Highway 394,Fast Food,Blountville,Arby's,37617,TN
100 Prince Royal Dr,Fast Food Restaurants,Berea,Burger King,40403,KY
16311 State Route 267,Fast Food Restaurants,East Liverpool,Italo's Pizza,43920,OH
900 W 8th St,Ice Cream Shop and Fast Food Restaurant,East Liverpool,Dairy Queen,43920,OH
723 Saratoga Ave,Fast Food Restaurants,Lima,Hunan Gardens,45804,OH
23777 Us Route 23,Fast Food Restaurant,Circleville,Burger King,43113,OH
414 Water St,Fast food restaurants,Chardon,Burger King,44024,OH
2005 S Main St,Fast Food Restaurant,Bellefontaine,Burger King,43311,OH
2000 E Edgerton Rd,Fast Food Restaurants,Broadview Heights,Burger King,44147,OH
